date,firm_id,V,sigma_V,DD,PD
2020-05-11,JPM,578763.4025576155,0.4178935771069735,-0.9987917769351142,0.1589477851565969
2020-05-12,JPM,571442.478045194,0.4048025990222558,-1.0129472554655574,0.15554267752934736
2020-05-13,JPM,564020.0657622026,0.3915301068684029,-1.0271351693103814,0.1521784101103072
2020-05-14,JPM,574725.7532194097,0.3832398074060446,-1.106797935268831,0.1341906505678676
2020-05-15,JPM,570661.6238132751,0.3764938531814111,-1.114586714693772,0.13251378301733446
2020-05-18,JPM,583801.3827759151,0.37428126509787885,-1.1839492436808379,0.11821657766122273
2020-05-19,JPM,579287.0924906136,0.36727762229837835,-1.1924608812761996,0.1165402903222334
2020-05-20,JPM,587157.27134259,0.36195994565635403,-1.252618248564567,0.10517233521615504
2020-05-21,JPM,584531.9929406897,0.3528341306704296,-1.2812762152149944,0.10004833205003238
2020-05-22,JPM,583164.831162788,0.3435754256463886,-1.3183721294790642,0.09368955294034553
2020-05-26,JPM,600617.0801545501,0.3483462668993724,-1.37994146893199,0.08380233353657379
2020-05-27,JPM,615777.7500411705,0.3523769939335148,-1.4308929505614896,0.076230448863755
2020-05-28,JPM,611894.64572644,0.347442159928134,-1.43769115263909,0.07526085225883747
2020-05-29,JPM,605265.5149924211,0.3390256843141319,-1.4497734873317178,0.07356084758617064
2020-06-01,JPM,608801.2470432719,0.33948631639702953,-1.4645032150843604,0.07152825262734545
2020-06-02,JPM,610512.9269980718,0.3231060253880936,-1.5639236123357243,0.05891775428811372
2020-06-03,JPM,625052.4934814144,0.32501302547728433,-1.6252620278276788,0.05205336936698026
2020-06-04,JPM,630950.9247499112,0.32573453722197465,-1.6497759875298716,0.049494380886085536
2020-06-05,JPM,644089.5294271506,0.32418545679439364,-1.7224772019614445,0.042491554586016785
2020-06-08,JPM,650174.872705318,0.32203606641172144,-1.7653307605570272,0.03875409631498063
2020-06-09,JPM,642504.04395948,0.31426630877900436,-1.7790767424233636,0.037613590563783085
2020-06-10,JPM,630734.7409500137,0.30232876637851575,-1.8000155485888878,0.03592909156654983
2020-06-11,JPM,607267.6005770648,0.2840417418498979,-1.8012920181633598,0.03582843262396065
2020-06-12,JPM,614442.6479126749,0.28510582285084807,-1.8347059679294893,0.03327463377915894
2020-06-15,JPM,618203.0582877984,0.2856190788893806,-1.8519080593541783,0.03201951322439938
2020-06-16,JPM,620393.5787702259,0.28592765871120107,-1.8619716502370585,0.03130354319177474
2020-06-17,JPM,613560.066748554,0.279163366808219,-1.8742591745115686,0.030447355795358448
2020-06-18,JPM,612215.7432382785,0.27647831057785277,-1.8868642508154019,0.02958929326621292
2020-06-19,JPM,609211.4712105333,0.27350366979106455,-1.8923905077600989,0.02921948490696525
2020-06-22,JPM,606454.3095781556,0.26931972623363765,-1.909163012795198,0.028120533027887595
2020-06-23,JPM,609689.4041309626,0.2691850293083309,-1.9296459082970843,0.026825363213625476
2020-06-24,JPM,601034.4270216102,0.26083284213193003,-1.945106882711349,0.02588105785221548
2020-06-25,JPM,609897.7452271054,0.2621594383001195,-1.9897813201798706,0.02330751501571073
2020-06-26,JPM,595613.094051463,0.25361199385426597,-1.9716898335052613,0.02432251246360354
2020-06-29,JPM,596736.750834779,0.25377661027785897,-1.9776732170066833,0.02398279179448209
2020-06-30,JPM,599576.8181291141,0.2541638011209948,-1.9929545771795536,0.023133210590334505
2020-07-01,JPM,597492.7982131517,0.2520930606441249,-1.9971957977629597,0.022901958693485047
2020-07-02,JPM,598304.0363267976,0.25220087712030675,-2.001614101013005,0.02266312562480206
2020-07-06,JPM,604699.2506898948,0.25311450864732793,-2.0350875186357222,0.02092103381804972
2020-07-07,JPM,597535.2717168416,0.24653315998089123,-2.0477425479894604,0.02029261621058451
2020-07-08,JPM,600219.573929346,0.24683713022947007,-2.0626705810379526,0.019571968413078625
2020-07-09,JPM,594806.0425854174,0.24191110695987247,-2.0721963305539566,0.019123567743091846
2020-07-10,JPM,608311.7316039879,0.2439822192116848,-2.144567065229671,0.01599373896553475
2020-07-13,JPM,612076.969529805,0.24458112611848493,-2.1635377717970323,0.015249920918021772
2020-07-14,JPM,613600.1648813355,0.24480477606702736,-2.1714905426073536,0.014947055640502672
2020-07-15,JPM,617703.2806088479,0.2453376968091331,-2.1934066977817106,0.01413904509625846
2020-07-16,JPM,618514.9143535561,0.24544282932393227,-2.1973045290651845,0.013999352209588445
2020-07-17,JPM,613555.6853717535,0.24127255486455498,-2.2061242341063108,0.013687651166109347
2020-07-20,JPM,611279.5576769061,0.23643256175309252,-2.2404555452266837,0.012530681859366887
2020-07-21,JPM,617027.2952415699,0.2372434957213412,-2.271014630945391,0.011573046129730835
2020-07-22,JPM,615114.836266903,0.2327912668986849,-2.305608464758144,0.010566259938909646
2020-07-23,JPM,615890.7674538307,0.2328797160739502,-2.310057641259664,0.010442481567775483
2020-07-24,JPM,614045.1787860334,0.23134732315601736,-2.3134918256265755,0.010347806837845194
2020-07-27,JPM,610346.6454744119,0.22824518027453417,-2.321589273771784,0.010127531002974864
2020-07-28,JPM,611494.8774423153,0.2283727703525662,-2.328394679271637,0.009945577964260537
2020-07-29,JPM,617889.5670743356,0.2291028045707003,-2.3652182144285456,0.009009725055037929
2020-07-30,JPM,610764.8407729496,0.2235505282922737,-2.3777041381019903,0.008710398651378416
2020-07-31,JPM,609836.9019818342,0.20962322611888565,-2.542814722699765,0.005498176036828392
2020-08-03,JPM,608443.3926803286,0.20418231847898877,-2.6043934718415174,0.0046018513696105285
2020-08-04,JPM,606963.0091129219,0.20279400452527688,-2.6116036923457187,0.004505932709219203
2020-08-05,JPM,611420.4466544276,0.20337453349291448,-2.639547184382517,0.00415084329885255
2020-08-06,JPM,611549.3233072893,0.20313513811373257,-2.6434426888076894,0.004103382885901161
2020-08-07,JPM,617305.797179771,0.20386138589905953,-2.679257831229233,0.0036892777134936226
2020-08-10,JPM,620710.3652097869,0.20409822340079975,-2.702860158994901,0.0034372831028736113
2020-08-11,JPM,629284.6239384124,0.20511384056157136,-2.7548615819381075,0.0029358485191251773
2020-08-12,JPM,626937.9068369581,0.20342368645271447,-2.761081276733895,0.0028805168718024103
2020-08-13,JPM,625429.0155737004,0.20229577976555455,-2.765200910311305,0.0028443873139232198
2020-08-14,JPM,625553.1832318798,0.20217021263226212,-2.768025878600977,0.002819848864272926
2020-08-17,JPM,618295.260148997,0.19738768930983192,-2.7808096290663946,0.002711176200097209
2020-08-18,JPM,614593.4240305115,0.19481170760518235,-2.7888343183184494,0.0026449059483989656
2020-08-19,JPM,615214.8897819812,0.19387517369368784,-2.8084578630522654,0.002488969817662448
2020-08-20,JPM,612034.7767171725,0.19132701069731034,-2.8213398493157,0.0023911754725608595
